"","ID","Fitness","Biomass","Seednum","Seedset","Std_SN","Flowered","FlwEnd","Flwday","Aflw","t_SN"
"74","TN1",0,0.24168,0,0,-0.279322868,1,1,63,1,0
"75","TN13",0,1.658,0,0,-0.279322868,1,1,61,1,0
"76","TN15",0,0.36149,0,0,-0.279322868,0,1,79,0,0
"77","TN21",0,0.03031,0,0,-0.279322868,0,1,85,0,0
"78","TN22",2.291338583,9.65,6,1,0.360700397,1,1,59,1,2.44948974278318
"79","TN23",0,3.196,0,0,-0.279322868,0,1,76,0,0
"80","TN25",0,0,0,0,-0.279322868,0,0,100,0,0
"81","TN28",0,1.194,0,0,-0.279322868,1,1,68,1,0
"82","TN30",0,0.84647,0,0,-0.279322868,1,1,64,1,0
"83","TN3",0,3.115,0,0,-0.279322868,1,1,70,1,0
"84","TN32",0,0.25916,0,0,-0.279322868,0,1,81,0,0
"85","TN34",0,0.31204,0,0,-0.279322868,0,1,73,1,0
"86","TN36",0,0.292,0,0,-0.279322868,1,1,65,1,0
"87","TN38",0,3.919,0,0,-0.279322868,1,1,69,1,0
"88","TN39",0,2.932,0,0,-0.279322868,1,1,58,1,0
"89","TN41",0,0.06372,0,0,-0.279322868,1,1,66,1,0
"90","VA1",0,0.01574,0,0,-0.279322868,0,0,100,0,0
"91","VA24",4.582677165,5.583,12,1,1.000723662,1,1,53,1,3.46410161513775
"92","VA25",0,0.756,0,0,-0.279322868,1,1,66,1,0
"93","VA38",0,0.993,0,0,-0.279322868,1,1,61,1,0
"94","VA39",0,0.01012,0,0,-0.279322868,0,0,100,0,0
"95","VA41",0,0.28144,0,0,-0.279322868,1,1,67,1,0
"96","VA50",0,0.14312,0,0,-0.279322868,0,1,76,0,0
"97","VA7",0,0.22849,0,0,-0.279322868,0,1,79,0,0
