TRNAW-CCA	TRNAW-CCA
LOC109184855	XM_019334938.1
LOC109184976	XM_019334998.1
LOC109185060	XM_019335078.1
LOC109186213	XM_019336163.1
LOC109186294	XM_019336254.1
LOC109185672	XR_002055019.1
LOC109185672	XR_002055027.1
LOC109185586	XM_019335560.1
LOC109186458	XM_019336481.1
LOC109186540	XM_019336603.1
LOC109189087	XR_002055540.1
LOC109186961	XM_019337161.1
LOC109186162	XR_002055102.1
LOC109187220	XM_019337400.1
LOC109186103	XR_002055086.1
LOC109188795	XR_002055499.1
LOC109188740	XR_002055491.1
LOC109187551	XM_019337812.1
LOC109187716	XM_019338045.1
LOC109187795	XM_019338166.1
LOC109189141	XR_002055551.1
LOC109188017	XM_019338520.1
LOC109188088	XM_019338635.1
LOC109188474	XM_019339180.1
LOC109188849	XM_019339588.1
LOC109188849	XM_019339739.1
LOC109188849	XM_019339519.1
LOC109188849	XM_019339663.1
LOC109188581	XM_019339242.1
LOC109189191	XR_002055565.1
LOC109192163	XM_019342770.1
LOC109189363	XM_019340113.1
LOC109192576	XM_019343311.1
LOC109189513	XM_019340150.1
TRNAI-AAU	TRNAI-AAU
LOC109189592	XM_019340236.1
LOC109192661	XM_019343376.1
LOC109192723	XM_019343456.1
LOC109189673	XR_002055609.1
LOC109189723	XR_002055625.1
LOC109192877	XM_019343616.1
LOC109189778	XM_019340435.1
LOC109193110	XM_019343968.1
LOC109189858	XR_002055653.1
LOC109189912	XM_019340568.1
LOC109189912	XM_019340576.1
LOC109151029	XM_019298974.1
LOC109190141	XM_019340670.1
LOC109190141	XM_019340611.1
LOC109190141	XM_019340744.1
LOC109190322	XM_019340815.1
LOC109190411	XR_002055722.1
LOC109190411	XR_002055692.1
LOC109190411	XR_002055705.1
LOC109193869	XM_019344720.1
LOC109190653	XM_019341240.1
LOC109190738	XM_019341351.1
LOC109190807	XR_002055801.1
LOC109193939	XM_019344805.1
LOC109190520	XM_019341125.1
LOC109190520	XM_019341051.1
LOC109190880	XM_019341506.1
LOC109190956	XM_019341627.1
LOC109190956	XM_019341585.1
LOC109194028	XM_019344913.1
LOC109194108	XM_019294102.1
LOC109146514	XM_019294208.1
LOC109146689	XM_019294367.1
LOC109146772	XM_019294453.1
LOC109147042	XM_019294703.1
LOC109151127	XM_019299069.1
LOC109147196	XM_019294854.1
LOC109147268	XM_019294949.1
LOC109147342	XM_019295023.1
LOC109147413	XM_019295097.1
LOC109147522	XM_019295144.1
TRNAH-AUG	TRNAH-AUG
TRNAR-ACG	TRNAR-ACG
TRNAY-AUA	TRNAY-AUA
LOC109147975	XM_019295702.1
LOC109148048	XM_019295826.1
LOC109148191	XM_019296076.1
LOC109148390	XM_019296206.1
LOC109148651	XM_019296410.1
LOC109148906	XM_019296648.1
LOC109149047	XM_019296705.1
LOC109151329	XR_002049291.1
LOC109149207	XM_019296902.1
LOC109149286	XM_019297017.1
LOC109191102	XM_019341701.1
LOC109149443	XM_019297253.1
LOC109149527	XM_019297373.1
LOC109149605	XM_019297494.1
LOC109191275	XM_019341901.1
LOC109191179	XM_019341797.1
LOC109150061	XM_019298053.1
LOC109150247	XM_019298181.1
LOC109191612	XM_019342253.1
LOC109191526	XM_019342182.1
LOC109150345	XM_019298282.1
LOC109150424	XM_019298352.1
LOC109150501	XM_019298461.1
LOC109150585	XM_019298570.1
LOC109191692	XM_019342368.1
LOC109191772	XM_019342469.1
LOC109150749	XM_019298759.1
LOC109150824	XM_019298820.1
LOC109150899	XM_019298934.1
LOC109152296	XM_019299943.1
LOC109152443	XM_019300173.1
LOC109151889	XR_002049308.1
LOC109152726	XM_019300403.1
LOC109152805	XM_019300496.1
LOC109152892	XM_019300608.1
LOC109191850	XM_019342542.1
LOC109152972	XM_019300712.1
LOC109153270	XM_019301175.1
LOC109191931	XM_019342612.1
LOC109153442	XM_019301340.1
LOC109153610	XM_019301493.1
LOC109153695	XM_019301608.1
LOC109153846	XM_019301758.1
LOC109154184	XM_019302053.1
LOC109152026	XM_019299628.1
LOC109152026	XM_019299675.1
LOC109154376	XM_019302199.1
LOC109152157	XR_002049366.1
LOC109154453	XM_019302243.1
LOC109192034	XR_002056037.1
LOC109192034	XR_002056060.1
LOC109192034	XR_002056042.1
LOC109154654	XM_019302413.1
LOC109154926	XM_019302689.1
LOC109155021	XM_019302778.1
LOC109155100	XM_019302864.1
LOC109155172	XM_019302913.1
LOC109164464	XR_002051413.1
TRNAT-UGU	TRNAT-UGU
LOC109165099	XM_019313754.1
LOC109164990	XR_002051466.1
LOC109158127	XM_019305992.1
LOC109158277	XM_019306226.1
LOC109163606	XM_019312445.1
LOC109163606	XM_019312381.1
LOC109155246	XM_019302966.1
LOC109155331	XR_002049907.1
LOC109155331	XM_019303037.1
LOC109158370	XM_019306309.1
LOC109158510	XM_019306446.1
LOC109155425	XM_019303139.1
LOC109158596	XM_019306512.1
LOC109158690	XM_019306618.1
LOC109158769	XM_019306690.1
LOC109159154	XM_019307237.1
LOC109155564	XM_019303199.1
LOC109159310	XM_019307470.1
LOC109164712	XM_019313331.1
LOC109164712	XM_019313282.1
LOC109159482	XM_019307612.1
LOC109155648	XM_019303300.1
LOC109159552	XM_019307676.1
LOC109159642	XM_019307749.1
LOC109165181	XR_002051502.1
LOC109159728	XM_019307863.1
LOC109159884	XM_019308023.1
LOC109159952	XM_019308097.1
LOC109155734	XR_002049925.1
LOC109155794	XR_002049952.1
LOC109155794	XM_019303483.1
LOC109155794	XM_019303556.1
LOC109156025	XM_019303833.1
LOC109156025	XM_019303917.1
LOC109160325	XM_019308687.1
LOC109163780	XM_019312502.1
LOC109163849	XM_019312650.1
LOC109163849	XM_019312590.1
LOC109156146	XM_019304094.1
LOC109156146	XM_019304037.1
LOC109165235	XR_002051513.1
LOC109163978	XM_019312807.1
LOC109163978	XM_019312749.1
LOC109160428	XM_019308744.1
LOC109160652	XM_019308956.1
LOC109160752	XM_019309025.1
LOC109156289	XR_002049998.1
LOC109161002	XM_019309335.1
LOC109156345	XM_019304342.1
LOC109156345	XM_019304210.1
LOC109156345	XM_019304441.1
LOC109156345	XM_019304385.1
LOC109156345	XM_019304286.1
LOC109161359	XM_019309761.1
LOC109156635	XM_019304506.1
LOC109156635	XM_019304607.1
LOC109156635	XM_019304553.1
LOC109161524	XM_019309996.1
LOC109156826	XR_002050123.1
LOC109161679	XM_019310193.1
LOC109161843	XM_019310416.1
LOC109161996	XM_019310654.1
LOC109156880	XM_019304797.1
TRNAR-UCU	TRNAR-UCU
LOC109162070	XM_019310769.1
LOC109162134	XM_019310886.1
LOC109164530	XM_019313063.1
LOC109168235	XM_019317291.1
TRNAT-UGU_1	TRNAT-UGU_1
TRNAT-AGU	TRNAT-AGU
TRNAT-AGU_1	TRNAT-AGU_1
TRNAT-AGU_2	TRNAT-AGU_2
TRNAT-AGU_3	TRNAT-AGU_3
TRNAT-AGU_4	TRNAT-AGU_4
TRNAT-AGU_5	TRNAT-AGU_5
TRNAT-AGU_6	TRNAT-AGU_6
TRNAT-UGU_2	TRNAT-UGU_2
LOC109162227	XM_019310972.1
LOC109156973	XM_019304890.1
LOC109157050	XM_019304954.1
LOC109157128	XM_019305057.1
LOC109157204	XM_019305134.1
LOC109162577	XM_019311284.1
LOC109162653	XM_019311363.1
LOC109162724	XM_019311433.1
LOC109162897	XM_019311627.1
LOC109162967	XM_019311711.1
LOC109163047	XM_019311790.1
LOC109163128	XM_019311903.1
LOC109163294	XM_019312077.1
LOC109163385	XM_019312154.1
LOC109163472	XM_019312247.1
LOC109165295	XM_019314026.1
LOC109165527	XM_019314369.1
LOC109165608	XM_019314485.1
LOC109165691	XM_019314604.1
LOC109168190	XR_002052031.1
LOC109168142	XR_002052006.1
LOC109165849	XM_019314849.1
LOC109165969	XM_019314890.1
LOC109166051	XM_019314971.1
LOC109166137	XM_019315058.1
LOC109166220	XM_019315165.1
LOC109166293	XM_019315280.1
LOC109166469	XM_019315443.1
LOC109166559	XM_019315494.1
LOC109166645	XM_019315560.1
LOC109157282	XM_019305202.1
LOC109157346	XM_019305278.1
LOC109166717	XM_019315641.1
LOC109157424	XM_019305534.1
LOC109157424	XM_019305468.1
LOC109157424	XM_019305423.1
LOC109157424	XM_019305380.1
LOC109157424	XM_019305349.1
LOC109157743	XR_002050285.1
LOC109164623	XM_019313179.1
LOC109167030	XM_019315965.1
LOC109167113	XM_019316077.1
LOC109167265	XM_019316315.1
TRNAM-CAU	TRNAM-CAU
LOC109167349	XM_019316387.1
LOC109164099	XM_019312892.1
LOC109164842	XM_019313417.1
LOC109167566	XM_019316635.1
LOC109164932	XR_002051454.1
TRNAR-CCU	TRNAR-CCU
LOC109164193	XM_019312950.1
LOC109164352	XM_019312962.1
LOC109165042	XR_002051482.1
LOC109167831	XM_019316920.1
LOC109167892	XM_019316990.1
LOC109167977	XM_019317068.1
LOC109157789	XM_019305825.1
LOC109157789	XM_019305651.1
LOC109157789	XM_019305751.1
LOC109157789	XM_019305715.1
LOC109169111	XM_019318011.1
LOC109169269	XM_019318171.1
LOC109169352	XM_019318254.1
LOC109169415	XM_019318312.1
LOC109169470	XM_019318376.1
LOC109169560	XM_019318462.1
LOC109170641	XM_019319873.1
TRNAV-UAC	TRNAV-UAC
TRNAV-UAC_1	TRNAV-UAC_1
LOC109170086	XM_019319070.1
TRNAI-UAU_1	TRNAI-UAU_1
LOC109170159	XM_019319180.1
LOC109170322	XM_019319423.1
LOC109170557	XM_019319762.1
LOC109170396	XM_019319535.1
TRNAM-CAU_1	TRNAM-CAU_1
TRNAN-GUU	TRNAN-GUU
TRNAR-ACG_1	TRNAR-ACG_1
TRNAN-GUU_1	TRNAN-GUU_1
TRNAN-GUU_2	TRNAN-GUU_2
TRNAR-ACG_2	TRNAR-ACG_2
LOC109171279	XM_019320380.1
LOC109171340	XM_019320421.1
LOC109171349	XM_019320433.1
LOC109171359	XM_019320442.1
LOC109171829	XM_019320911.1
LOC109171371	XM_019320451.1
LOC109171380	XM_019320471.1
LOC109171380	XM_019320464.1
LOC109171380	XM_019320487.1
LOC109171380	XM_019320478.1
LOC109171853	XM_019320931.1
LOC109171414	XR_002052597.1
LOC109171863	XM_019320943.1
LOC109171871	XM_019320954.1
LOC109171405	XM_019320498.1
LOC109171423	XR_002052598.1
LOC109171434	XM_019320510.1
LOC109171491	XR_002052599.1
LOC109171498	XR_002052600.1
LOC109171879	XM_019320965.1
LOC109171466	XM_019320512.1
LOC109171504	XR_002052601.1
LOC109171482	XM_019320516.1
LOC109171510	XR_002052602.1
LOC109171450	XM_019320511.1
LOC109172482	XR_002052755.1
LOC109171913	XM_019321009.1
LOC109172432	XM_019321588.1
LOC109171934	XM_019321045.1
LOC109172369	XR_002052747.1
LOC109172369	XM_019321571.1
LOC109172369	XM_019321570.1
LOC109171951	XM_019321069.1
LOC109171537	XM_019320565.1
LOC109171975	XM_019321099.1
LOC109171544	XR_002052616.1
LOC109171540	XR_002052613.1
LOC109171516	XM_019320546.1
LOC109172012	XM_019321137.1
LOC109172027	XM_019321163.1
LOC109172033	XM_019321176.1
LOC109171527	XM_019320553.1
LOC109172041	XM_019321188.1
LOC109171549	XM_019320592.1
LOC109171549	XM_019320600.1
LOC109172048	XM_019321201.1
LOC109172055	XM_019321214.1
LOC109172469	XR_002052754.1
LOC109171568	XM_019320623.1
LOC109171563	XM_019320614.1
LOC109171575	XM_019320628.1
TRNAL-UAA_1	TRNAL-UAA_1
LOC109171581	XM_019320636.1
LOC109172070	XM_019321237.1
LOC109171589	XM_019320642.1
LOC109171596	XM_019320649.1
LOC109172110	XM_019321266.1
LOC109172120	XM_019321270.1
LOC109171604	XM_019320656.1
LOC109171615	XR_002052629.1
LOC109171615	XR_002052628.1
LOC109171621	XM_019320679.1
LOC109171629	XM_019320689.1
LOC109171629	XM_019320699.1
LOC109172139	XM_019321290.1
LOC109171639	XM_019320712.1
LOC109171647	XM_019320722.1
LOC109171654	XM_019320726.1
LOC109172155	XM_019321307.1
LOC109172356	XR_002052744.1
LOC109172167	XM_019321319.1
LOC109172361	XM_019321559.1
LOC109171670	XR_002052634.1
LOC109171659	XM_019320734.1
LOC109171659	XM_019320737.1
LOC109171695	XR_002052644.1
LOC109171695	XR_002052643.1
LOC109171687	XM_019320756.1
LOC109171675	XM_019320748.1
LOC109172414	XM_019321576.1
LOC109172414	XM_019321573.1
LOC109172183	XM_019321335.1
LOC109172192	XM_019321343.1
LOC109172201	XM_019321352.1
LOC109172398	XM_019321572.1
LOC109172459	XM_019321622.1
LOC109171706	XM_019320768.1
LOC109172210	XM_019321361.1
LOC109172226	XM_019321377.1
TRNAP-AGG	TRNAP-AGG
TRNAP-UGG	TRNAP-UGG
LOC109172448	XR_002052751.1
LOC109172244	XM_019321399.1
LOC109171719	XM_019320777.1
LOC109171727	XR_002052647.1
LOC109171735	XR_002052648.1
LOC109171742	XR_002052649.1
LOC109172249	XM_019321412.1
LOC109172441	XR_002052750.1
LOC109171754	XR_002052653.1
LOC109171760	XR_002052654.1
LOC109171749	XR_002052651.1
LOC109172296	XM_019321470.1
LOC109171763	XM_019320830.1
LOC109172301	XM_019321479.1
LOC109171772	XR_002052658.1
LOC109171772	XM_019320842.1
LOC109171782	XM_019320863.1
LOC109171782	XM_019320857.1
LOC109172310	XM_019321490.1
LOC109172454	XR_002052752.1
LOC109171797	XR_002052660.1
